step,vs_random_win_rate,vs_heuristic_win_rate
25000,0.3,0.26666666666666666
50000,0.36666666666666664,0.23333333333333334
75000,0.5333333333333333,0.16666666666666666
100000,0.43333333333333335,0.26666666666666666
125000,0.5,0.06666666666666667
150000,0.4666666666666667,0.23333333333333334
175000,0.6333333333333333,0.16666666666666666
200000,0.43333333333333335,0.2
225000,0.7,0.13333333333333333
250000,0.6,0.23333333333333334
275000,0.6666666666666666,0.26666666666666666
300000,0.6,0.13333333333333333
325000,0.5333333333333333,0.2
350000,0.4666666666666667,0.2
375000,0.36666666666666664,0.16666666666666666
400000,0.5333333333333333,0.26666666666666666
425000,0.6333333333333333,0.23333333333333334
450000,0.6666666666666666,0.2
475000,0.5333333333333333,0.23333333333333334
500000,0.4666666666666667,0.3333333333333333
525000,0.5666666666666667,0.3
550000,0.5333333333333333,0.2
575000,0.5,0.23333333333333334
600000,0.5333333333333333,0.23333333333333334
625000,0.5666666666666667,0.36666666666666664
650000,0.4666666666666667,0.26666666666666666
