step,vs_random_win_rate,vs_heuristic_win_rate
10000,0.23333333333333334,0.23333333333333334
20000,0.4,0.2
30000,0.3,0.16666666666666666
40000,0.4666666666666667,0.1
50000,0.4666666666666667,0.16666666666666666
60000,0.5333333333333333,0.3
70000,0.6333333333333333,0.3
80000,0.5333333333333333,0.2
90000,0.4,0.16666666666666666
100000,0.4,0.26666666666666666
110000,0.6666666666666666,0.16666666666666666
120000,0.43333333333333335,0.13333333333333333
130000,0.6,0.23333333333333334
140000,0.7666666666666667,0.36666666666666664
150000,0.3333333333333333,0.26666666666666666
