step,vs_random_win_rate,vs_heuristic_win_rate
25000,0.6333333333333333,0.2
50000,0.4,0.26666666666666666
75000,0.4666666666666667,0.2
100000,0.5666666666666667,0.3
125000,0.5666666666666667,0.2
150000,0.7,0.36666666666666664
175000,0.5333333333333333,0.26666666666666666
200000,0.5333333333333333,0.23333333333333334
225000,0.6,0.13333333333333333
250000,0.5333333333333333,0.23333333333333334
275000,0.43333333333333335,0.13333333333333333
300000,0.6333333333333333,0.13333333333333333
325000,0.4666666666666667,0.1
350000,0.4666666666666667,0.1
375000,0.6666666666666666,0.06666666666666667
400000,0.5,0.1
425000,0.6,0.26666666666666666
450000,0.6,0.16666666666666666
475000,0.5,0.23333333333333334
500000,0.6666666666666666,0.3333333333333333
525000,0.5333333333333333,0.2
550000,0.5333333333333333,0.26666666666666666
575000,0.6,0.3
600000,0.5666666666666667,0.26666666666666666
625000,0.7333333333333333,0.2
650000,0.6,0.3333333333333333
