step,vs_random_win_rate,vs_heuristic_win_rate
25000,0.43333333333333335,0.16666666666666666
50000,0.43333333333333335,0.16666666666666666
75000,0.5666666666666667,0.1
100000,0.7,0.13333333333333333
125000,0.5333333333333333,0.1
150000,0.6,0.3333333333333333
175000,0.4666666666666667,0.23333333333333334
200000,0.4,0.16666666666666666
225000,0.5333333333333333,0.1
250000,0.5333333333333333,0.26666666666666666
275000,0.5,0.13333333333333333
300000,0.4,0.23333333333333334
325000,0.5,0.2
350000,0.5,0.1
375000,0.6,0.16666666666666666
400000,0.6,0.23333333333333334
425000,0.6333333333333333,0.23333333333333334
450000,0.6,0.4
475000,0.4666666666666667,0.3
500000,0.6666666666666666,0.36666666666666664
525000,0.6333333333333333,0.26666666666666666
550000,0.4666666666666667,0.26666666666666666
575000,0.5,0.3333333333333333
600000,0.6,0.36666666666666664
625000,0.5,0.26666666666666666
650000,0.6333333333333333,0.4
