step,vs_random_win_rate,vs_heuristic_win_rate
25000,0.72,0.47
50000,0.71,0.47
75000,0.82,0.46
100000,0.75,0.48
125000,0.71,0.5
150000,0.77,0.43
175000,0.75,0.49
200000,0.8,0.53
225000,0.79,0.43
250000,0.74,0.41
275000,0.76,0.39
300000,0.85,0.38
325000,0.74,0.45
350000,0.74,0.43
375000,0.67,0.36
400000,0.8,0.49
